天地玄黄 天是青黑色，地是黄色。
宇宙洪荒 宇宙初开时，一片辽阔混沌。
日月盈昃 太阳有正有斜，月亮有圆有缺。
辰宿列张 满天星辰，排列分布在天空。
寒来暑往 冷天过去，热天到来，循环不止。
秋收冬藏 秋天收割庄稼，冬天储藏粮食。
闰余成岁 把每年多出的日子积成闰月，补齐年岁。
律吕调阳 古人用音律来调和阴阳节气。
云腾致雨 云气升腾，遇冷化成雨。
露结为霜 夜里露水遇冷，凝结成霜。
金生丽水 黄金出产在丽水（金沙江一带）。
玉出昆冈 美玉出产在昆仑山。
剑号巨阙 最好的宝剑叫“巨阙”。
珠称夜光 最珍贵的珍珠叫“夜光”。
果珍李柰 水果里珍贵的是李子和柰（沙果）。
菜重芥姜 蔬菜里看重的是芥菜和生姜。
海咸河淡 海水是咸的，河水是淡的。
鳞潜羽翔 鱼在水中潜游，鸟在空中飞翔。
龙师火帝 上古有以龙命名官职的伏羲，以火命名官职的神农。
鸟官人皇 有以鸟命名官职的少昊，还有人皇。
始制文字 （仓颉）开始创造文字。
乃服衣裳 人们开始穿上衣裳。
推位让国 把帝位让给贤能的人。
有虞陶唐 说的是虞舜和唐尧。
吊民伐罪 安抚百姓，讨伐有罪的君主。
周发殷汤 说的是周武王姬发和商汤。
坐朝问道 贤君坐在朝堂上，向大臣询问治国之道。
垂拱平章 垂衣拱手，天下就太平清明。
爱育黎首 爱护抚育百姓。
臣伏戎羌 四方各族都来归顺称臣。
遐迩一体 远近各地连成一个整体。
率宾归王 天下人都归服君王。
鸣凤在竹 凤凰在竹林中鸣叫。
白驹食场 白马在草场上吃草。
化被草木 圣君的教化连草木都受到了。
赖及万方 恩泽遍及四面八方。
盖此身发 说到人的身体发肤。
四大五常 身合地水火风“四大”，心守仁义礼智信“五常”。
恭惟鞠养 要恭敬地想着父母的养育之恩。
岂敢毁伤 怎敢随意损伤身体。
女慕贞洁 女子仰慕贞节纯洁。
男效才良 男子效法有才德的人。
知过必改 知道有错一定要改。
得能莫忘 学到的本领不要忘记。
罔谈彼短 不要议论别人的短处。
靡恃己长 不要倚仗自己的长处。
信使可覆 说话守信，要经得起检验。
器欲难量 气度要大，大得难以估量。
墨悲丝染 墨子看到白丝被染色而悲叹，人也容易被环境改变。
诗赞羔羊 《诗经·羔羊》赞美品德纯洁的官员。
景行维贤 行为光明正大，才能成为贤人。
克念作圣 克制私念，就能成为圣人。
德建名立 品德建立起来，名声自然树立。
形端表正 身体端正，仪表自然正直。
空谷传声 空旷的山谷里，声音传得很远。
虚堂习听 空荡的厅堂里，声音听得清楚。
祸因恶积 灾祸是因为坏事做多了。
福缘善庆 福气来自多做好事。
尺璧非宝 一尺长的美玉不算真正的宝贝。
寸阴是竞 一寸光阴才值得争取。
资父事君 用侍奉父亲的心来侍奉君主。
曰严与敬 要做到严肃和恭敬。
孝当竭力 孝顺父母要尽心尽力。
忠则尽命 忠于国家要不惜生命。
临深履薄 做事要像走近深渊、踩着薄冰一样谨慎。
夙兴温凊 早起侍奉父母，冬天让他们暖，夏天让他们凉。
似兰斯馨 德行像兰花一样芳香。
如松之盛 像松树一样茂盛常青。
川流不息 像河水一样流淌不停。
渊澄取映 像深潭一样清澈，能照见人影。
容止若思 举止要沉静，像在思考。
言辞安定 说话要安稳从容。
笃初诚美 开头认真做好，固然很好。
慎终宜令 结尾也谨慎做好，才更好。
荣业所基 这些是成就荣耀事业的基础。
籍甚无竟 有了这个基础，名声会远扬无尽。
学优登仕 学问好了就可以做官。
摄职从政 担任职务，参与政事。
存以甘棠 召公在甘棠树下理政，百姓留下这棵树纪念他。
去而益咏 他离开后，百姓更加歌颂他。
乐殊贵贱 音乐因身份贵贱而有区别。
礼别尊卑 礼节因地位尊卑而有分别。
上和下睦 长辈和气，晚辈和睦。
夫唱妇随 丈夫倡导，妻子相随。
外受傅训 在外接受老师的教导。
入奉母仪 在家遵守母亲的规范。
诸姑伯叔 姑姑、伯伯、叔叔这些长辈。
犹子比儿 对待侄儿侄女，要像亲生孩子一样。
孔怀兄弟 兄弟之间要非常关爱。
同气连枝 兄弟血气相同，像树枝连在一起。
交友投分 交朋友要意气相投。
切磨箴规 互相切磋学问，互相劝诫过失。
仁慈隐恻 仁爱之心、同情之心。
造次弗离 即使在仓促之间，也不能丢掉。
节义廉退 气节、正义、廉洁、谦让。
颠沛匪亏 即使颠沛流离，也不能缺失。
性静情逸 心性沉静，情绪就安逸。
心动神疲 心思浮动，精神就疲惫。
守真志满 守住本心，心里就充实满足。
逐物意移 追逐外物，意志就会动摇。
坚持雅操 坚持高尚的操守。
好爵自縻 好的官位自然会来。
都邑华夏 华夏的都城。
东西二京 有东西两京：洛阳和长安。
背邙面洛 洛阳背靠邙山，面对洛水。
浮渭据泾 长安有渭水流过，依傍泾水。
宫殿盘郁 宫殿曲折重叠，气势雄伟。
楼观飞惊 楼台高耸像要飞起，令人吃惊。
图写禽兽 宫殿里画着飞禽走兽。
画彩仙灵 还彩绘着神仙灵怪。
丙舍旁启 配殿的门从侧面开着。
甲帐对楹 华美的帐幕对着厅柱。
肆筵设席 摆开宴席。
鼓瑟吹笙 弹瑟吹笙，奏乐助兴。
升阶纳陛 官员们登上台阶，进入殿堂。
弁转疑星 帽上的珠玉晃动，好像满天星星。
右通广内 右边通向广内殿（藏书处）。
左达承明 左边通到承明殿（校书处）。
既集坟典 这里收藏了古代典籍。
亦聚群英 也聚集了众多英才。
杜稿钟隶 有杜度的草书稿、钟繇的隶书。
漆书壁经 还有漆写的古书和孔府墙壁里发现的经书。
府罗将相 官府里将相排列。
路侠槐卿 大路两旁是公卿大臣的府第。
户封八县 每家封给八个县的税收。
家给千兵 每家配给上千名兵士。
高冠陪辇 他们戴着高帽，陪着皇帝的车驾。
驱毂振缨 车子奔驰，帽带飘动。
世禄侈富 世代享受俸禄，奢侈富足。
车驾肥轻 车子轻快，马匹肥壮。
策功茂实 记录功劳，褒奖实绩。
勒碑刻铭 把功绩刻在石碑上流传。
磻溪伊尹 在磻溪钓鱼的姜太公，还有伊尹。
佐时阿衡 他们辅佐君王，伊尹被尊为“阿衡”（宰相）。
奄宅曲阜 周公受封，定居曲阜。
微旦孰营 没有周公旦，谁能把国家经营好？
桓公匡合 齐桓公匡正天下，会合诸侯。
济弱扶倾 救助弱小，扶持危难的国家。
绮回汉惠 绮里季等人保住了汉惠帝的太子之位。
说感武丁 傅说被商王武丁梦见，得到重用。
俊乂密勿 贤才勤勉努力。
多士寔宁 人才济济，国家才真正安宁。
晋楚更霸 晋国和楚国轮流称霸。
赵魏困横 赵国和魏国被“连横”之策所困。
假途灭虢 晋国借道虞国，灭了虢国。
践土会盟 晋文公在践土会盟诸侯。
何遵约法 萧何遵循刘邦的“约法三章”。
